"Informazioni cronologiche","In che genere ti identifichi:","Età","Luogo di residenza","Titolo di studio","Occupazione","Ti ritieni un lettore","Qual è il genere che preferisci leggere (puoi selezionare più di una risposta)","Con quale supporto preferisci leggere (Seleziona tutti quelli che usi)","Se ti viene regalato un libri sei... (esempio a Natale, compleanno ecc.)","Preferisci compare libri","Il prezzo di un libro ti frena dal comprarlo?","Qual è il prezzo massimo che sei disposto a spendere per un libro","Quanti libri compri in media in un anno tra usati e nuovi (Scrivere il numero intero: esempio 25)","Oltre a comprare libri, quali altri mezzi utilizzi (puoi selezionare più di una risposta)","Quanti libri leggi in media in un anno (Scrivere il numero intero: Esempio: 25)","Preferisci compare libri","Mediamente, a settimana, quanto tempo passi a leggere","Hai un account attivo su quale di questi social? (cioè: Entri dentro l'app giornalmente o quasi) (puoi selezionare più di una risposta)","Usi uno di questi account per parlare di libri? (sei un bookinfluencer)","Usi uno di questi account solo per cercare consigli sui libri? (non sei un bookinfluencer)","Se hai risposto sì, ad almeno una delle due, specifica quali","Ti ritieni parte di una comunità librosa online? (BookTube, Bookstagram, BookTok)","Specifica quale (anche più di una)","Conosci #Booktok?","Quanto tempo passi giornalmente su tiktok","Quando hai conosciuto #booktok?  (scrivi solo l'anno --> yyyy)","Quanto sono cambiate le tue abitudini di lettura da quando sei entrato nel BookTok?","Hai mai partecipato a una live di lettura? ","Cosa ti piace di queste live?","Hai mai partecipato a un GDL (gruppo di lettura)","Cosa ti piace di questi GDL?","Durante la lettura di un libro ","Ascolti volentieri recensioni parlate di 1 minuto o più?","Cosa ti ha convinto a rimanere la prima volta che hai conosciuto BookTok? (Risposta facoltativa, ma sono molto curiosa)","Preferisci leggere","Qual è il tuo bookinfluencer preferito?","Da 1 a 5 con quanta frequenza ti capitano nei ""per te"" o nel ""feed"" video o post del BookTok, BookTube o Bookstagram","Da 1 a 5 quanto pensi che il BookTok, Bookstagram, BookTube abbia influito sul tuo approccio alla lettura?","Prima di comprare un libro quanto ti basi sui pareri del BookTok, Booktube e Bookstagram","Compri libri che hanno sulla copertina scritto ""fenomeno di BookTok"" o ""romanzo di wattpad""","Compri e leggi un libro anche se è stato definito ""brutto"" da un bookinfluencer che segui e stimi?","Come scegli i libri da comprare, puoi selezionare più di una risposta","Leggi libri perché in quel momento vanno di moda?","Dopo aver finito un libro che ti è piaciuto molto cosa fai? Puoi mettere più di una risposta","Dopo aver finito un libro che non ti è piaciuto molto cosa fai? Può selezionare più di una risposta","Considera gli ultimi dodici mesi. Ti è capitato di comprare dei libri suggeriti da BookTok, BookTube o Bookstagram?","",""
"2023/01/17 7:21:51 PM CET","F","14-18","Centro","Licenza di Scuola Media","Studente","3","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit","Cartaceo","4","Nuovi","Si","16 - 20 Euro","25","Li prendo in biblioteca o MLOL;Leggo su wattpad (e simili)","9","Mi è indifferente","dalle 3 alle 6 ore","Youtube;Instagram;Tiktok;Twitter","No","Si","Tiktok","Si","Booktok","Si","3 o 4 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Si","La passione con cui parlavano di libri mi faceva desiderare di sentirla anche io e di trovare un libro, tra quelli consigliati, che mi faccia innamorare.","In completo silenzio","Valentina Ghetti","4","4","4","Si","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro","Scegli un altro libro","Si","",""
"2023/01/17 7:22:23 PM CET","F","26-35","Centro","Diploma","Lavoratore","3","Fantasy e Avventura;Fantascienza;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","5","Nuovi","Si","16 - 20 Euro","20","Utilizzo abbonamenti (ad esempio Kindle Unlimited)","20","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram;Tiktok;Facebook","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2022","Leggevo anche prima ma adesso leggo molto di più","No","","Sì","Mi aiutano a leggere","Utilizzo dei post-it per segnare delle frasi;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Si","","In completo silenzio","Piovonogiuggiole","3","3","3","Si","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Leggi o guardi video di recensione online;Scegli un altro libro simile","Scegli un altro libro","Si","",""
"2023/01/17 7:22:25 PM CET","F","19-25","Sud e Isole","Diploma","Studente","5","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Indifferente","Si","16 - 20 Euro","20/25","Li prendo in biblioteca o MLOL;Li scarico da siti online","40/45","Mi è indifferente","dalle 7 alle 10 ore","Instagram;Tiktok;Twitter","Si","Si","Tiktok;Twitter","Si","Bookstagram","Si","tra l'1 o le 2 ore","Fine 2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo;Mi sembra di leggere più velocemente","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri;Conto le pagine che mancano a finire il capitolo e prima di iniziare la lettura DEVO leggere l'ultima frase, per forza. ","Si","Il senso di appartenenza. Sentirmi parte di una grande famiglia. ","Il contesto è indifferente","Meg, Carmelo, Marti, Ema, UnaChiaraqualunque, Chiara e Josh","5","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Fai un video/post su qualche social","Scegli un altro libro;Vendo / scambio il libro","Si","",""
"2023/01/17 7:23:34 PM CET","F","26-35","Nord","Laurea e post laurea","Lavoratore","4","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","3","Nuovi","Si","16 - 20 Euro","20/25","Leggo in audiolibro","25","Su Amazon","dalle 7 alle 10 ore","Youtube;Instagram","No","Si","Youtube;Instagram","No","","No","","","","","","","","","","","In completo silenzio","","5","2","2","No","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","Aspetto che la moda sia passata","Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro","Si","",""
"2023/01/17 7:24:09 PM CET","F","14-18","Nord","Licenza di Scuola Media","Studente","3","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult;Libri sulla sessuologia  ","Cartaceo;Ebook","4","Usati","Si","16 - 20 Euro","Dipende ma varia dai 5 ai 10 +ebook","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Leggo su wattpad (e simili)","","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","1 o 2 ore","Youtube;Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","3 o 4 ore","2021","Leggevo anche prima ma adesso leggo molto di più","No","","Sì","Mi fa sentire parte di un gruppo;Confronto , pareri,informazioni  sui libri","Utilizzo segnalibri","Dipende dal libro","Scrittrice che sono /erano su wattpad     ho iniziato a seguirle anche la ,da lì entri e scopri  nuove persone  che hanno la tua stessa passione  e ti capiscono in certi versi ,( a parer mio la migliore si sclera insieme)","Il contesto è indifferente","Non ne  ho uno ,ognuono è  differente per una sua carratteristica ,ma ho più  a cuore i scrittori  di cui ho letto i libri e amati.","4","5","3","No","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;","Scegli un altro libro","Si","",""
"2023/01/17 7:24:21 PM CET","F","19-25","Sud e Isole","Laurea e post laurea","Lavoratore","3","Giallo e Thriller","Cartaceo","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","7","Nessuno di questi","3","Nelle librerie fisiche","1 o 2 ore","Instagram","No","Si","Instagram","No","","No","","","","","","","","Faccio le orecchiette alle pagine","Si","","In completo silenzio","","1","1","2","No","No","Leggo trame di libri finché non trovo quello che fa per me","No","Scegli un altro libro simile","Scegli un altro libro","Si","",""
"2023/01/17 7:25:10 PM CET","F","19-25","Centro","Diploma","Studente","3","Classici;Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","3","Leggo in audiolibro;Li prendo in biblioteca o MLOL;Li scarico da siti online;Leggo su wattpad (e simili)","10","Nelle librerie fisiche","dalle 3 alle 6 ore","Youtube;Instagram","No","Si","Youtube;Instagram;Tiktok","Si","Booktok;Bookstagram;Booktube","Si","meno di un'ora","2022","Non sono cambiate, leggo quanto prima","No","","Entro ma alla fine non leggo il libro","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri;Sottolineo a matita ","Si","","In completo silenzio","Gaia Lapasini e The world of Pini","4","4","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Vendo / scambio il libro","Si","",""
"2023/01/17 7:25:39 PM CET","F","19-25","Sud e Isole","Diploma","Studente","5","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","90","Utilizzo abbonamenti (ad esempio Kindle Unlimited)","40","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Scrivo sul libro le mie impressioni","Si","Ho iniziato seguendo Booktok America perché in Italia ancora non c'era e da quando è nato in Italia mi hanno convinta a rimanere le persone che ci sono dietro ai profili. Purtroppo non avendo amici a cui piace leggere, scoprire questo mondo mi ha ha fatto apprezzare ancora di più la lettura, ti fa sentire parte di qualcosa. Ad esempio quando Meg (labibliotecadiDaphne) ha dato il nome di bibliotecari alle persone che la seguono mi sono sentita ancora di più parte di una grande famiglia. Essendo nato poi tutto questo durante la pandemia ha creato anche un canale di sfogo per scappare dalla realtà che ci circondava e quindi iniziando a leggere tutti insieme nelle live di lettura. 
In bocca al lupo per la stesura della tesi di laurea e mi raccomando aggiornaci <3 ","Con musica di sottofondo","Meg de LabibliotecadiDaphne ","4","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online","Scegli un altro libro;Non mi piace vendere i libri anche se non mi piacciono perché magari quello non era il momento giusto per leggerlo e un domani se lo rileggo mi potrebbe piacere tantissimo ","Si","",""
"2023/01/17 7:26:14 PM CET","F","19-25","Centro","Diploma","Studente","4","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","4","Indifferente","Si","21 - 26 Euro","30","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Leggo su wattpad (e simili)","70","Su Amazon","Più di 10 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2022","Leggo meno di prima","No","","No","","Utilizzo segnalibri","Si","Era uno spazio dove mi sentivo compresa","In completo silenzio","Non ne ho ","5","2","3","Si","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online;Scegli un altro libro simile","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 7:26:16 PM CET","F","19-25","Nord","Laurea e post laurea","Lavoratore","4","Fantasy e Avventura;Young Adult e New Adult","Ebook","3","Nuovi","Si","Se il libro mi interessa non importa il prezzo","10","Utilizzo abbonamenti (ad esempio Kindle Unlimited)","25","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","1 o 2 ore","Instagram","No","No","","Si","Booktok","Si","tra l'1 o le 2 ore","2022","Non sono cambiate, leggo quanto prima","Si","Mi fa sentire parte di un gruppo","Sì","Mi aiutano a leggere","Utilizzo evidenziatori e sottolineo frasi","Si","","Con musica di sottofondo","","3","3","3","Si","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Scegli un altro libro simile","Ne discuti con amici conosciuti online","Si","",""
"2023/01/17 7:26:59 PM CET","F","26-35","Nord","Diploma","Lavoratore","5","Classici;Fantasy e Avventura;Fantascienza;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Indifferente","Si","16 - 20 Euro","50","Leggo in audiolibro;Utilizzo abbonamenti (ad esempio Kindle Unlimited)","200","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","Più di 10 ore","Instagram;Tiktok;Facebook","Si","Si","Instagram;Tiktok","Si","Bookstagram","Si","meno di un'ora","2022","Non sono cambiate, leggo quanto prima","No","","Sì","Mi aiutano a leggere","Nulla ","Dipende dal libro","","In completo silenzio","Psiedoll ","5","4","3","Dipende dal libro","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Fai un video/post su qualche social","Scegli un altro libro;Fai un video/post su qualche social;Vendo / scambio il libro","Si","",""
"2023/01/17 7:28:23 PM CET","F","26-35","Sud e Isole","Laurea e post laurea","Lavoratore","5","Fantasy e Avventura;Giallo e Thriller;Romanzo storico;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Audiolibro","5","Nuovi","Si","Se il libro mi interessa non importa il prezzo","15","Leggo in audiolibro","20","Nelle librerie fisiche","1 o 2 ore","Instagram;Facebook","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","meno di un'ora","2022","Non sono cambiate, leggo quanto prima","No","Mai partecipato ","No","","Utilizzo segnalibri","Si","","Il contesto è indifferente","","5","2","1","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro","Si","",""
"2023/01/17 7:29:27 PM CET","F","26-35","Nord","Diploma","Studente","3","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Ebook","5","Usati","Si","10 - 12 Euro","25","Leggo in audiolibro","10","Mi è indifferente","1 o 2 ore","Youtube;Instagram;Tiktok;Twitter;Facebook","No","Si","Instagram;Tiktok","Si","Booktok","Si","tra l'1 o le 2 ore","2021","Leggevo anche prima ma adesso leggo molto di più","No","","Entro ma alla fine non leggo il libro","","Utilizzo segnalibri","Dipende dal libro","","In completo silenzio","","4","4","4","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro","Si","",""
"2023/01/17 7:29:41 PM CET","F","14-18","Nord","Licenza di Scuola Media","Studente","5","Classici;Fantasy e Avventura;Romanzo storico;Romanzo rosa e Chick-lit;Young Adult e New Adult;Saggi e divulgazione scientifica","Cartaceo;Ebook","5","Nuovi","Si","13 - 15 Euro","50","Li prendo in biblioteca o MLOL;Leggo su wattpad (e simili)","100","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok","No","Si","Tiktok","Si","Booktok;Bookstagram","Si","3 o 4 ore","2022","Leggevo anche prima ma adesso leggo molto di più","No","","Sì","Mi aiutano a leggere;Mi fa sentire parte di un gruppo;Mi sembra di leggere più velocemente","Utilizzo dei post-it per segnare delle frasi;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Si","Il fatto che i social media come tik tok vengano utilizzati anche per divulgare informazioni editoriali e non solamente come passatempo. ","In completo silenzio","","5","4","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio consigliare dal libraio","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Scegli un altro libro simile","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro","Si","",""
"2023/01/17 7:29:42 PM CET","F","19-25","Sud e Isole","Laurea e post laurea","Studente","3","Fantasy e Avventura;Fantascienza;Giallo e Thriller;Romanzo rosa e Chick-lit","Cartaceo","4","Indifferente","No","Se il libro mi interessa non importa il prezzo","5","Leggo su wattpad (e simili)","5","Mi è indifferente","1 o 2 ore","Youtube;Instagram;Facebook","No","No","","No","","No","","","","","","No","","","","","In completo silenzio","","1","1","0","Dipende dal libro","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Scegli un altro libro simile","Scegli un altro libro","No","",""
"2023/01/17 7:30:32 PM CET","F","26-35","Nord","Laurea e post laurea","Lavoratore","4","Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","Tra i 30 e 40 Dipende dalle uscite ","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li scarico da siti online;Leggo su wattpad (e simili)","40","Mi è indifferente","dalle 7 alle 10 ore","Instagram;Tiktok","Si","No","Tiktok","Si","Booktok","Si","tra l'1 o le 2 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Dipende dal libro","Il fatto di scoprire sempre nuovi libri e anche di ampliare i miei generi di lettura ","Il contesto è indifferente","Meg (la biblioteca di daphne)  e Valentina Ghetti ","5","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Ne discuti con amici conosciuti online;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Fai un video/post su qualche social","Si","",""
"2023/01/17 7:31:48 PM CET","F","14-18","Nord","Licenza di Scuola Media","Studente","5","Fantasy e Avventura;Fantascienza;Giallo e Thriller;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","Si","16 - 20 Euro","5 o 6","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li prendo in biblioteca o MLOL","30","Mi è indifferente","dalle 7 alle 10 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Si","Sentire cosa avevano da dire altre persone sui libri che mi piacciono e soprattutto, trovare sempre qualche titolo che non conoscevo","Il contesto è indifferente","Meg di LaBibliotecadiDaphne","4","3","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online","Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 7:32:04 PM CET","F","14-18","Centro","Licenza di Scuola Media","Studente","4","Fantasy e Avventura;Giallo e Thriller;Romanzo storico;Romanzo rosa e Chick-lit","Cartaceo;Ebook","5","Nuovi","Si","16 - 20 Euro","20","Leggo su wattpad (e simili)","20","Nelle librerie fisiche","dalle 3 alle 6 ore","Youtube;Instagram;Tiktok;Twitter","No","No","","Si","Booktok;Bookstagram","Si","3 o 4 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere","No","","Utilizzo dei post-it per segnare delle frasi;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Si","la passione per la lettura che condividiamo","Con musica di sottofondo","Meg","4","3","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio consigliare dal libraio;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 7:32:06 PM CET","F","14-18","Nord","Licenza di Scuola Media","Studente","3","Fantasy e Avventura;Romanzo storico;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","5","Indifferente","Si","16 - 20 Euro","20","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li scarico da siti online;Leggo su wattpad (e simili)","15","Nelle librerie fisiche","Più di 10 ore","Youtube;Instagram","No","Si","Youtube;Instagram","Si","Bookstagram;Booktube","No","","","","","","","","","","","In completo silenzio","leggoromance","4","5","3","Dipende dal libro","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online","Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 7:32:22 PM CET","F","19-25","Nord","Diploma","Disoccupato","5","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit","Cartaceo","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","10","Li prendo in biblioteca o MLOL;Leggo su wattpad (e simili)","35","Nelle librerie fisiche","Più di 10 ore","Instagram","No","Si","Instagram","Si","Booktok;Bookstagram","Si","3 o 4 ore","2019","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Dipende dal libro","mi piacevano i libri che le persone consigliavano e mi ha aiutata appunto a scoprirne di nuovi","Con musica di sottofondo","","5","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online","Ne discuti con amici conosciuti online;Scegli un altro libro","Si","",""
"2023/01/17 7:32:35 PM CET","F","19-25","Centro","Diploma","Studente","5","Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo","5","Nuovi","Si","Se il libro mi interessa non importa il prezzo","50","Utilizzo abbonamenti (ad esempio Kindle Unlimited)","50","Mi è indifferente","Più di 10 ore","Instagram;Tiktok","Si","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2022","Non sono cambiate, leggo quanto prima","No","","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Scrivo sul libro le mie impressioni;Utilizzo evidenziatori e sottolineo frasi;Faccio le orecchiette alle pagine;Utilizzo segnalibri","Dipende dal libro","Il poter divulgare la conoscenza dei libri e sui libri cosa che in questi anni si era assopita ","In completo silenzio","giulipanzanii","5","2","1","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online;Scegli un altro libro simile;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Fai un video/post su qualche social","Si","",""
"2023/01/17 7:32:46 PM CET","F","19-25","Sud e Isole","Diploma","Lavoratore","5","Fantasy e Avventura;Fantascienza;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","5","Usati","Si","16 - 20 Euro","30","Nessuno di questi","5","Nelle librerie fisiche","dalle 7 alle 10 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","più di 4 ore","2021","Leggevo anche prima ma adesso leggo molto di più","No","","Entro ma alla fine non leggo il libro","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Dipende dal libro","Mi ha convinta il video di una ragazza che parlava con entusiasmo del mio libro preferito e poi leggendo i commenti ho capito che c'era un'intera comunità di lettori come me. Nella mia città nessuno legge quindi mi sentivo un po' ""sola""","In completo silenzio","","5","3","1","Dipende dal libro","Si","Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro","Si","",""
"2023/01/17 7:33:21 PM CET","F","19-25","Centro","Diploma","Studente","3","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","4","Nuovi","Si","21 - 26 Euro","10","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li scarico da siti online","Non lo so perché spesso vado in blocco, ma quando non sono in blocco anche 5 in un mese","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","No","Booktok;Bookstagram","Si","3 o 4 ore","2019","Leggevo anche prima ma adesso leggo molto di più","No","","No","","Faccio le orecchiette alle pagine","Si","L'interesse e l'amore che ci mettono i bookinfluencer(anche se spesso capita che abbiamo gusti MOOOOOLTO diversi)","Il contesto è indifferente","Tu, Valentina ghetto, labibliotecadidaphne(non ricordo il nome help)","4","2","3","Dipende dal libro","No","Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online;mi guardo tutte le fanart ","Ne discuti con i tuoi amici e li convinci a non leggerlo;Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
