"Informazioni cronologiche","In che genere ti identifichi:","Età","Luogo di residenza","Titolo di studio","Occupazione","Ti ritieni un lettore","Qual è il genere che preferisci leggere (puoi selezionare più di una risposta)","Con quale supporto preferisci leggere (Seleziona tutti quelli che usi)","Se ti viene regalato un libri sei... (esempio a Natale, compleanno ecc.)","Preferisci compare libri","Il prezzo di un libro ti frena dal comprarlo?","Qual è il prezzo massimo che sei disposto a spendere per un libro","Quanti libri compri in media in un anno tra usati e nuovi (Scrivere il numero intero: esempio 25)","Oltre a comprare libri, quali altri mezzi utilizzi (puoi selezionare più di una risposta)","Quanti libri leggi in media in un anno (Scrivere il numero intero: Esempio: 25)","Preferisci compare libri","Mediamente, a settimana, quanto tempo passi a leggere","Hai un account attivo su quale di questi social? (cioè: Entri dentro l'app giornalmente o quasi) (puoi selezionare più di una risposta)","Usi uno di questi account per parlare di libri? (sei un bookinfluencer)","Usi uno di questi account solo per cercare consigli sui libri? (non sei un bookinfluencer)","Se hai risposto sì, ad almeno una delle due, specifica quali","Ti ritieni parte di una comunità librosa online? (BookTube, Bookstagram, BookTok)","Specifica quale (anche più di una)","Conosci #Booktok?","Quanto tempo passi giornalmente su tiktok","Quando hai conosciuto #booktok?  (scrivi solo l'anno --> yyyy)","Quanto sono cambiate le tue abitudini di lettura da quando sei entrato nel BookTok?","Hai mai partecipato a una live di lettura? ","Cosa ti piace di queste live?","Hai mai partecipato a un GDL (gruppo di lettura)","Cosa ti piace di questi GDL?","Durante la lettura di un libro ","Ascolti volentieri recensioni parlate di 1 minuto o più?","Cosa ti ha convinto a rimanere la prima volta che hai conosciuto BookTok? (Risposta facoltativa, ma sono molto curiosa)","Preferisci leggere","Qual è il tuo bookinfluencer preferito?","Da 1 a 5 con quanta frequenza ti capitano nei ""per te"" o nel ""feed"" video o post del BookTok, BookTube o Bookstagram","Da 1 a 5 quanto pensi che il BookTok, Bookstagram, BookTube abbia influito sul tuo approccio alla lettura?","Prima di comprare un libro quanto ti basi sui pareri del BookTok, Booktube e Bookstagram","Compri libri che hanno sulla copertina scritto ""fenomeno di BookTok"" o ""romanzo di wattpad""","Compri e leggi un libro anche se è stato definito ""brutto"" da un bookinfluencer che segui e stimi?","Come scegli i libri da comprare, puoi selezionare più di una risposta","Leggi libri perché in quel momento vanno di moda?","Dopo aver finito un libro che ti è piaciuto molto cosa fai? Puoi mettere più di una risposta","Dopo aver finito un libro che non ti è piaciuto molto cosa fai? Può selezionare più di una risposta","Considera gli ultimi dodici mesi. Ti è capitato di comprare dei libri suggeriti da BookTok, BookTube o Bookstagram?","",""
"2023/01/17 4:50:20 PM CET","F","26-35","Nord","Laurea e post laurea","Lavoratore","5","Romanzo storico;Romanzo rosa e Chick-lit;Young Adult e New Adult;Libri per bambini ","Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","Cartacei una 20ina, ebook una 50ina","Li prendo in biblioteca o MLOL","50","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","dalle 7 alle 10 ore","Instagram","No","Si","Instagram","Si","Bookstagram","No","","","","","","","","","","","In completo silenzio","Jesslibri ","3","3","3","No","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Ne discuti con amici conosciuti online;Scegli un altro libro","Si","",""
"2023/01/17 4:50:35 PM CET","F","19-25","Nord","Laurea e post laurea","Disoccupato","5","Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","3","Nuovi","Si","16 - 20 Euro","15","Li prendo in biblioteca o MLOL;Li scarico da siti online","150","Nelle librerie fisiche","Più di 10 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2021","Non sono cambiate, leggo quanto prima","No","","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri;Evidenzio sul kindle","Dipende dal libro","Sentirmi parte di una comunità in cui parlare di libri, tra recensioni e consigli, meme e battute","Il contesto è indifferente","","4","2","1","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Mi faccio ispirare dalla copertina","No","Cerco le fanart su Pinterest, mi segno le mie frasi preferite","Scegli un altro libro","Si","",""
"2023/01/17 4:51:35 PM CET","F","19-25","Centro","Diploma","Studente","5","Fantasy e Avventura;Young Adult e New Adult","Cartaceo","5","Indifferente","Si","16 - 20 Euro","30","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li prendo in biblioteca o MLOL","60","Su Amazon","Più di 10 ore","Instagram;Tiktok","Si","Si","Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Faccio le orecchiette alle pagine","Si","","Con musica di sottofondo","","5","4","3","Dipende dal libro","Si","Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Scegli un altro libro simile;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Fai un video/post su qualche social;Vendo / scambio il libro","Si","",""
"2023/01/17 4:51:47 PM CET","M","19-25","Centro","Diploma","Studente","1","Saggi e divulgazione scientifica","Cartaceo","2","Usati","No","Se il libro mi interessa non importa il prezzo","3","Nessuno di questi","2","Nelle librerie fisiche","1 o 2 ore","Youtube;Instagram;Facebook","No","No","","No","","No","","","","","","","","","","","In completo silenzio","","1","1","0","No","Si","Consigli di amici","No","Scegli un altro libro simile","Scegli un altro libro","No","",""
"2023/01/17 4:51:53 PM CET","F","26-35","Nord","Diploma","Studente","4","Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Nuovi","Si","Se il libro mi interessa non importa il prezzo","15","Leggo in audiolibro;Li scarico da siti online","15","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram;Facebook","No","Si","Instagram","No","","No","","","","","","","","","","","In completo silenzio","","3","2","3","No","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio consigliare dal libraio","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 4:51:56 PM CET","F","36-45","Nord","Diploma","Lavoratore","5","Classici;Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Indifferente","Si","Se il libro mi interessa non importa il prezzo","20","Leggo in audiolibro;Utilizzo abbonamenti (ad esempio Kindle Unlimited)","30","Mi è indifferente","Più di 10 ore","Tiktok","No","Si","Tiktok","Si","Booktok","Si","tra l'1 o le 2 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","No","","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Si","La ragazza del video, Parlava di un genere che la mia famiglia o chi mi sta di fianco non considera una lettura colta.
Quindi la curiosità di conoscere il parere di qualcun altro sul genere fantasy e condividere la stessa passione mi ha incuriosita a rimanere sul booktok e a cercare altri booktoker . ","Il contesto è indifferente","La biblioteca di daphne ","5","3","3","No","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer;Mi faccio consigliare dal libraio;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Scegli un altro libro simile","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Vendo / scambio il libro","Si","",""
"2023/01/17 4:52:16 PM CET","F","19-25","Sud e Isole","Laurea e post laurea","Studente","4","Fantasy e Avventura;Young Adult e New Adult","Cartaceo","5","Nuovi","Si","13 - 15 Euro","15","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li scarico da siti online;Leggo su wattpad (e simili)","10","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok","Si","No","Instagram","Si","Bookstagram","Si","tra l'1 o le 2 ore","","Non sono cambiate, leggo quanto prima","No","","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Dipende dal libro","","In completo silenzio","","3","3","2","Si","Si","Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online","Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 4:52:19 PM CET","F","36-45","Sud e Isole","Diploma","Disoccupato","4","Fantasy e Avventura;Young Adult e New Adult","Cartaceo;Ebook","5","Indifferente","Si","13 - 15 Euro","20","Li prendo in biblioteca o MLOL;Li scarico da siti online","30","Mi è indifferente","1 o 2 ore","Youtube;Instagram;Facebook","No","Si","Instagram;Facebook","Si","Bookstagram","No","","","","No","","Entro ma alla fine non leggo il libro","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Si","","In completo silenzio","","2","2","0","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Mi faccio ispirare dalla copertina","No","Scegli un altro libro simile","Scegli un altro libro","Si","",""
"2023/01/17 4:52:43 PM CET","M","19-25","Nord","Diploma","Lavoratore","3","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","da giugno 2021 a oggi ho preso 189 libri","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li scarico da siti online;Leggo su wattpad (e simili)","70","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","No","non ne ho mai fatto parte","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Si","amo leggere, e conoscere persone che hanno la mia stessa passione mi fa sentire parte di un gruppo","In completo silenzio","labibliotecadidaphne","5","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Ne discuti con amici conosciuti online;Scegli un altro libro simile","Scegli un altro libro;Vendo / scambio il libro","Si","",""
"2023/01/17 4:52:59 PM CET","M","14-18","Nord","Licenza di Scuola Media","Studente","5","Fantasy e Avventura;Fantascienza;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Indifferente","Si","16 - 20 Euro","5","Li prendo in biblioteca o MLOL;Li scarico da siti online;Leggo su wattpad (e simili)","50","Su Amazon","dalle 7 alle 10 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2022","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Sì","Mi aiutano a leggere","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Si","","Il contesto è indifferente","","4","4","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Consigli di Bookinfluencer","No","Leggi o guardi video di recensione online","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Vendo / scambio il libro","Si","",""
"2023/01/17 4:53:08 PM CET","F","36-45","Sud e Isole","Laurea e post laurea","Lavoratore","5","Classici;Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Indifferente","Si","10 - 12 Euro","50","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li prendo in biblioteca o MLOL","80","Su Amazon","Più di 10 ore","Instagram;Tiktok;Facebook","Si","No","Instagram;Tiktok","Si","Bookstagram","No","","","","","","","","","","","In completo silenzio","","5","5","2","No","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Fai un video/post su qualche social","Fai un video/post su qualche social","No","",""
"2023/01/17 4:53:22 PM CET","F","26-35","Sud e Isole","Laurea e post laurea","Lavoratore","4","Classici;Fantasy e Avventura;Romanzo storico;Young Adult e New Adult","Cartaceo;Ebook","5","Usati","Si","13 - 15 Euro","10","Leggo in audiolibro;Li prendo in biblioteca o MLOL","35","Mi è indifferente","dalle 3 alle 6 ore","Youtube;Instagram","No","Si","Youtube;Instagram","Si","Bookstagram;Booktube","No","","","","","","","","","","","Il contesto è indifferente","","4","4","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio consigliare dal libraio","Si","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online;Scegli un altro libro simile","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 4:53:51 PM CET","F","26-35","Nord","Diploma","Lavoratore","5","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","60","Li prendo in biblioteca o MLOL;Leggo su wattpad (e simili)","65","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","Più di 10 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Si","Il modo in cui le persone parlano dei libri e l’ambiente che creano, mi fate sentire in un luogo sicuro. ","Il contesto è indifferente","Labibliotecadidaphne","5","3","3","Dipende dal libro","Si","Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online","Ne discuti con amici conosciuti online;Scegli un altro libro;Vendo / scambio il libro","Si","",""
"2023/01/17 4:54:16 PM CET","F","26-35","Centro","Diploma","Disoccupato","4","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","4","Nuovi","Si","13 - 15 Euro","10","Nessuno di questi","10","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram;Facebook","No","No","","No","","No","","","","","","No","","Faccio le orecchiette alle pagine","Dipende dal libro","","Il contesto è indifferente","","4","3","4","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Leggi o guardi video di recensione online;Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro","Si","",""
"2023/01/17 4:54:19 PM CET","M","19-25","Centro","Diploma","Studente","2","Fantascienza;Giallo e Thriller","Cartaceo;Ebook","2","Indifferente","Si","21 - 26 Euro","4","Li scarico da siti online","5","Mi è indifferente","1 o 2 ore","Youtube;Instagram;Twitter;Facebook","No","No","","No","","No","","","","No","","No","","","No","","Con musica di sottofondo","","1","1","0","No","No","Leggo trame di libri finché non trovo quello che fa per me","No","Leggi o guardi video di recensione online;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo","No","",""
"2023/01/17 4:54:23 PM CET","F","19-25","Nord","Laurea e post laurea","Studente","4","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Ebook","5","Nuovi","Si","10 - 12 Euro","10","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li prendo in biblioteca o MLOL;Li scarico da siti online","50","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok;Twitter;Facebook","No","Si","Tiktok","Si","Booktok;Bookstagram","Si","meno di un'ora","2022","Non sono cambiate, leggo quanto prima","Si","Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Si","","In completo silenzio","","4","3","2","No","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Niente","Vendo / scambio il libro","Si","",""
"2023/01/17 4:54:27 PM CET","F","19-25","Sud e Isole","Diploma","Studente","4","Classici;Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo","5","Indifferente","No","Se il libro mi interessa non importa il prezzo","Mediamente 10","Leggo su wattpad (e simili)","Circa 10","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram","No","Si","Instagram","Si","Booktok;Bookstagram","Si","meno di un'ora","2020","Leggevo anche prima ma adesso leggo molto di più","No","","","","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Si","Il modo in cui viene raccontata la trama del libro attraverso, appunto, i video. Per esempio, su di me, influisce un sacco la musica che si sceglie di usare e come il video viene sviluppato. Stessa cosa vale per le foto del bookstagram.","Con musica di sottofondo","Zac D'Aleo","4","5","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online","Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 4:55:06 PM CET","F","19-25","Nord","Laurea e post laurea","Lavoratore","5","Classici;Fantasy e Avventura;Fantascienza;Contemporary fiction","Cartaceo;Ebook","5","Indifferente","Si","16 - 20 Euro","30","Utilizzo abbonamenti (ad esempio Kindle Unlimited)","80","Nelle librerie fisiche","Più di 10 ore","Instagram;Tiktok;Twitter;Facebook","Si","No","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","meno di un'ora","2022","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","No","","Utilizzo segnalibri;A volte mi registro quando leggo perché reagisco parlando ","Si","","In completo silenzio","","5","3","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Scegli un altro libro simile;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Fai un video/post su qualche social;Vendo / scambio il libro","Si","",""
"2023/01/17 4:55:30 PM CET","F","19-25","Centro","Diploma","Studente","5","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","50","Li scarico da siti online","100","Su Amazon","Più di 10 ore","Youtube;Instagram;Facebook","No","Si","Youtube;Instagram","Si","Bookstagram;Booktube","No","","","","No","","No","","Utilizzo segnalibri","Si","","In completo silenzio","Steph Bohrer (You Tube)","4","4","4","Si","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Leggi o guardi video di recensione online;Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Vendo / scambio il libro","Si","",""
"2023/01/17 4:55:33 PM CET","F","14-18","Centro","Diploma","Studente","5","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Ebook","3","Nuovi","Si","10 - 12 Euro","15","Li scarico da siti online","80","Nelle librerie fisiche","dalle 7 alle 10 ore","Instagram;Tiktok","No","Si","Instagram;Tiktok","Si","Booktok","Si","tra l'1 o le 2 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Entro ma alla fine non leggo il libro","","Utilizzo segnalibri","No","","Il contesto è indifferente","","4","5","5","Dipende dal libro","No","Consigli di Bookinfluencer","Si","Leggi o guardi video di recensione online;Scegli un altro libro simile","Scegli un altro libro","Si","",""
"2023/01/17 4:55:49 PM CET","F","19-25","Centro","Diploma","Disoccupato","5","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","5","Nuovi","Si","Se il libro mi interessa non importa il prezzo","20","Nessuno di questi","20","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram;Tiktok;Twitter","No","Si","Instagram;Tiktok","Si","Booktok","Si","più di 4 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","No","Mi aiutano a leggere","Utilizzo dei post-it per segnare delle frasi;Scrivo sul libro le mie impressioni;Utilizzo segnalibri","Si","Scoprire sempre storie nuove","In completo silenzio","Martina Levv","5","4","4","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro","Si","",""
"2023/01/17 4:55:50 PM CET","F","19-25","Centro","Diploma","Studente","4","Classici;Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","3","Indifferente","Si","16 - 20 Euro","30","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Leggo su wattpad (e simili)","25","Nelle librerie fisiche","dalle 3 alle 6 ore","Youtube;Instagram","No","Si","Instagram","Si","Bookstagram","Si","","2021","Leggevo anche prima ma adesso leggo molto di più","No","","No","","Scrivo sul libro le mie impressioni;Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Dipende dal libro","","In completo silenzio","","4","4","4","Dipende dal libro","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Piango:) e divento un vegetale per almeno 24 ore ahah","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Vendo / scambio il libro","Si","",""
"2023/01/17 4:55:52 PM CET","M","19-25","Sud e Isole","Diploma","Lavoratore","4","Fantasy e Avventura;Fantascienza;Young Adult e New Adult","Cartaceo;Ebook","4","Nuovi","Si","21 - 26 Euro","15","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li scarico da siti online","70","Su Amazon","dalle 7 alle 10 ore","Instagram","No","No","","Si","Bookstagram","No","","","","","","","","","","","Il contesto è indifferente","","3","3","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di amici;Mi faccio ispirare dalla copertina","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Scegli un altro libro","No","",""
"2023/01/17 4:55:53 PM CET","F","26-35","Sud e Isole","Laurea e post laurea","Lavoratore","5","Fantasy e Avventura;Romanzo storico;Narrativa","Cartaceo","5","Indifferente","Si","16 - 20 Euro","80","Utilizzo abbonamenti (ad esempio Kindle Unlimited)","70","Su Amazon","dalle 7 alle 10 ore","Instagram","Si","Si","Instagram","Si","Bookstagram","Si","meno di un'ora","2021","Non sono cambiate, leggo quanto prima","No","","Sì","Mi fa sentire parte di un gruppo","Utilizzo evidenziatori e sottolineo frasi;Utilizzo segnalibri","Dipende dal libro","","Con musica di sottofondo","Bess young","5","3","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 4:56:21 PM CET","F","19-25","Nord","Diploma","Studente","4","Fantasy e Avventura;Giallo e Thriller","Cartaceo;Ebook","4","Indifferente","Si","13 - 15 Euro","20","Li scarico da siti online","15","Mi è indifferente","dalle 7 alle 10 ore","Youtube;Instagram;Tiktok;Twitter","No","Si","Tiktok;Twitter","No","","Si","3 o 4 ore","2021","Leggevo anche prima ma adesso leggo molto di più","Si","Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Si","","Il contesto è indifferente","meg de labibliotecadidaphne","3","3","3","No","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Leggi o guardi video di recensione online","Scegli un altro libro","Si","",""
"2023/01/17 4:57:10 PM CET","F","14-18","Nord","Diploma","Studente","5","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Ebook","5","Nuovi","Si","10 - 12 Euro","50","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Leggo su wattpad (e simili)","100","Su Amazon","dalle 3 alle 6 ore","Instagram;Tiktok;Twitter","No","Si","Instagram;Tiktok;Twitter","Si","Booktok;Bookstagram","Si","meno di un'ora","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","Sì","Mi fa sentire parte di un gruppo","Utilizzo evidenziatori e sottolineo frasi","Si","l’amore per la lettura ","Il contesto è indifferente","la fantasmagorica leggoromance","4","4","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Ne discuti con amici conosciuti online;Scegli un altro libro simile","Ne discuti con amici conosciuti online;Scegli un altro libro","Si","",""
"2023/01/17 4:57:56 PM CET","F","19-25","Centro","Diploma","Studente","3","Classici;Fantasy e Avventura;Young Adult e New Adult","Cartaceo;Ebook","4","Indifferente","Si","13 - 15 Euro","15","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Leggo su wattpad (e simili)","12","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok","No","Si","Tiktok","Si","Booktok","Si","tra l'1 o le 2 ore","","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi fa sentire parte di un gruppo","No","","Utilizzo segnalibri","Dipende dal libro","","Con musica di sottofondo","","4","3","3","Dipende dal libro","Si","Consigli di Bookinfluencer;Mi faccio consigliare dal libraio;Mi faccio ispirare dalla copertina","Si","Leggi o guardi video di recensione online","Scegli un altro libro","Si","",""
"2023/01/17 4:58:17 PM CET","M","19-25","Nord","Diploma","Studente","4","Classici;Fantasy e Avventura;Fantascienza;Giallo e Thriller;Horror","Cartaceo","5","Usati","Si","Se il libro mi interessa non importa il prezzo","40","Li prendo in biblioteca o MLOL","30","Nelle librerie fisiche","dalle 3 alle 6 ore","Youtube;Instagram","No","Si","Youtube","No","","No","","","","","","","","","","","Il contesto è indifferente","","3","3","2","No","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Leggi o guardi video di recensione online;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Vendo / scambio il libro","Si","",""
