"Informazioni cronologiche","In che genere ti identifichi:","Età","Luogo di residenza","Titolo di studio","Occupazione","Ti ritieni un lettore","Qual è il genere che preferisci leggere (puoi selezionare più di una risposta)","Con quale supporto preferisci leggere (Seleziona tutti quelli che usi)","Se ti viene regalato un libri sei... (esempio a Natale, compleanno ecc.)","Preferisci compare libri","Il prezzo di un libro ti frena dal comprarlo?","Qual è il prezzo massimo che sei disposto a spendere per un libro","Quanti libri compri in media in un anno tra usati e nuovi (Scrivere il numero intero: esempio 25)","Oltre a comprare libri, quali altri mezzi utilizzi (puoi selezionare più di una risposta)","Quanti libri leggi in media in un anno (Scrivere il numero intero: Esempio: 25)","Preferisci compare libri","Mediamente, a settimana, quanto tempo passi a leggere","Hai un account attivo su quale di questi social? (cioè: Entri dentro l'app giornalmente o quasi) (puoi selezionare più di una risposta)","Usi uno di questi account per parlare di libri? (sei un bookinfluencer)","Usi uno di questi account solo per cercare consigli sui libri? (non sei un bookinfluencer)","Se hai risposto sì, ad almeno una delle due, specifica quali","Ti ritieni parte di una comunità librosa online? (BookTube, Bookstagram, BookTok)","Specifica quale (anche più di una)","Conosci #Booktok?","Quanto tempo passi giornalmente su tiktok","Quando hai conosciuto #booktok?  (scrivi solo l'anno --> yyyy)","Quanto sono cambiate le tue abitudini di lettura da quando sei entrato nel BookTok?","Hai mai partecipato a una live di lettura? ","Cosa ti piace di queste live?","Hai mai partecipato a un GDL (gruppo di lettura)","Cosa ti piace di questi GDL?","Durante la lettura di un libro ","Ascolti volentieri recensioni parlate di 1 minuto o più?","Cosa ti ha convinto a rimanere la prima volta che hai conosciuto BookTok? (Risposta facoltativa, ma sono molto curiosa)","Preferisci leggere","Qual è il tuo bookinfluencer preferito?","Da 1 a 5 con quanta frequenza ti capitano nei ""per te"" o nel ""feed"" video o post del BookTok, BookTube o Bookstagram","Da 1 a 5 quanto pensi che il BookTok, Bookstagram, BookTube abbia influito sul tuo approccio alla lettura?","Prima di comprare un libro quanto ti basi sui pareri del BookTok, Booktube e Bookstagram","Compri libri che hanno sulla copertina scritto ""fenomeno di BookTok"" o ""romanzo di wattpad""","Compri e leggi un libro anche se è stato definito ""brutto"" da un bookinfluencer che segui e stimi?","Come scegli i libri da comprare, puoi selezionare più di una risposta","Leggi libri perché in quel momento vanno di moda?","Dopo aver finito un libro che ti è piaciuto molto cosa fai? Puoi mettere più di una risposta","Dopo aver finito un libro che non ti è piaciuto molto cosa fai? Può selezionare più di una risposta","Considera gli ultimi dodici mesi. Ti è capitato di comprare dei libri suggeriti da BookTok, BookTube o Bookstagram?","",""
"2023/01/17 4:25:13 PM CET","F","26-35","Nord","Laurea e post laurea","Lavoratore","5","Fantasy e Avventura;Giallo e Thriller;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","Si","Se il libro mi interessa non importa il prezzo","25","Li scarico da siti online","45","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","dalle 3 alle 6 ore","Youtube;Instagram;Facebook","No","Si","Instagram;Facebook","Si","Bookstagram","No","meno di un'ora","2021","Non sono cambiate, leggo quanto prima","No","","No","","Utilizzo segnalibri","Dipende dal libro","","In completo silenzio","","4","4","4","Dipende dal libro","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Leggi o guardi video di recensione online;Scegli un altro libro simile","Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Cerchi di capire cosa è piaciuto agli altri","Si","",""
"2023/01/17 4:25:41 PM CET","F","19-25","Centro","Diploma","Studente","5","Fantasy e Avventura;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook","5","Usati","Si","16 - 20 Euro","50","Utilizzo abbonamenti (ad esempio Kindle Unlimited);Leggo su wattpad (e simili)","70","Nelle librerie digitali (feltrinelli, libraccio, mondadori ecc.)","dalle 7 alle 10 ore","Instagram;Tiktok;Twitter","No","Si","Instagram;Tiktok","Si","Booktok","Si","tra l'1 o le 2 ore","2020","Leggevo anche prima ma adesso leggo molto di più","No","","No","","Utilizzo dei post-it per segnare delle frasi;Faccio le orecchiette alle pagine;Utilizzo segnalibri","Si","La gioia con cui le persone parlano di libri","In completo silenzio","Meg ","4","5","4","Si","No","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro","Leggi o guardi video di recensione online per conoscere altri punti di vista;Cerchi di capire cosa è piaciuto agli altri","Si","",""
"2023/01/17 4:25:42 PM CET","F","26-35","Nord","Laurea e post laurea","Lavoratore","5","Fantasy e Avventura;Giallo e Thriller;Romanzo storico;Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","5","Indifferente","Si","16 - 20 Euro","30","Leggo in audiolibro;Utilizzo abbonamenti (ad esempio Kindle Unlimited);Li prendo in biblioteca o MLOL","70","Nelle librerie indipendenti","dalle 3 alle 6 ore","Youtube;Instagram;Tiktok;Twitter","Si","No","Instagram;Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","Mi aiutano a leggere;Mi aiutano a non distrarmi con il telefono","Sì","Mi aiutano a leggere;Mi fa sentire parte di un gruppo;Mi sembra di leggere più velocemente","Utilizzo dei post-it per segnare delle frasi;Utilizzo segnalibri","Dipende dal libro","L'emozione che trasmetteva Meg @labibliotecadidaphne parlando dei libri che amava","Il contesto è indifferente","Carmelo - Latimidalibreriadelriccio","5","5","4","Dipende dal libro","Si","Consigli di amici;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online;Scegli un altro libro simile;Fai un video/post su qualche social;Cerco se ci sono edizioni particolari di quel libro","Ne discuti con i tuoi amici e li convinci a non leggerlo;Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Fai un video/post su qualche social;Cerchi di capire cosa è piaciuto agli altri;Metto in vendita o in scambio il libro (a meno che non abbia una copertina troppo bella)","Si","",""
"2023/01/17 4:26:23 PM CET","F","19-25","Nord","Laurea e post laurea","Lavoratore","3","Fantasy e Avventura;Fantascienza;Young Adult e New Adult;Saggi e divulgazione scientifica","Cartaceo;Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","20","Leggo su wattpad (e simili)","30","Su Amazon","dalle 3 alle 6 ore","Youtube;Instagram;Tiktok;Twitter","No","Si","Youtube;Instagram;Tiktok","Si","Bookstagram;Booktube","Si","tra l'1 o le 2 ore","2020","Non sono cambiate, leggo quanto prima","No","","Sì","Mi aiutano a leggere","Utilizzo segnalibri","Dipende dal libro","Facce nuove, fresche, video veloci, il modo accattivante di parlare dei booktoker","Il contesto è indifferente","Ludodreamer, ilfilodiarianna e the wild Sasha","4","5","5","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Leggi o guardi video di recensione online;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Leggi o guardi video di recensione online per conoscere altri punti di vista","Si","",""
"2023/01/17 4:27:09 PM CET","F","26-35","Sud e Isole","Diploma","Lavoratore","3","Fantasy e Avventura;Fantascienza;Romanzo storico;Young Adult e New Adult","Cartaceo","3","Indifferente","Si","16 - 20 Euro","10","Nessuno di questi","12","Su Amazon","1 o 2 ore","Instagram;Tiktok;Facebook","No","No","","Si","Booktok","Si","meno di un'ora","2022","Non sono cambiate, leggo quanto prima","No","","No","","Utilizzo segnalibri","Si","Conoscere novità in tema di libri","In completo silenzio","","4","3","4","Dipende dal libro","No","Consigli di amici;Consigli di Bookinfluencer","Si","Scegli un altro libro simile","Scegli un altro libro","Si","",""
"2023/01/17 4:27:25 PM CET","F","14-18","Nord","Diploma","Studente","5","Fantasy e Avventura;Young Adult e New Adult","Cartaceo;Ebook","5","Indifferente","Si","Se il libro mi interessa non importa il prezzo","30","Nessuno di questi","50","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram","Si","Si","Instagram;Pinterest","Si","Bookstagram","No","meno di un'ora","no","Leggevo anche prima ma adesso leggo molto di più","No","","No","","Utilizzo segnalibri","No","","Il contesto è indifferente","","5","5","2","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Aspetto che la moda sia passata","Ne discuti con amici conosciuti online;Scegli un altro libro simile;Fai un video/post su qualche social","Ne discuti con amici conosciuti online;Leggi o guardi video di recensione online per conoscere altri punti di vista;Scegli un altro libro;Fai un video/post su qualche social;Cerchi di capire cosa è piaciuto agli altri","Si","",""
"2023/01/17 4:27:32 PM CET","F","19-25","Centro","Diploma","Studente","4","Fantasy e Avventura;Fantascienza;Young Adult e New Adult","Cartaceo;Ebook;Audiolibro","3","Indifferente","Si","16 - 20 Euro","20","Leggo in audiolibro;Li scarico da siti online","50","Nelle librerie fisiche","dalle 3 alle 6 ore","Instagram;Tiktok","No","Si","Tiktok","Si","Booktok;Bookstagram","Si","tra l'1 o le 2 ore","2020","Leggevo anche prima ma adesso leggo molto di più","Si","","Sì","Mi fa sentire parte di un gruppo","Utilizzo segnalibri","Si","","In completo silenzio","Ovviamente te❤️❤️","3","3","2","No","No","Mi faccio ispirare dalla copertina","No","Leggi o guardi video di recensione online","Leggi o guardi video di recensione online per conoscere altri punti di vista;Cerchi di capire cosa è piaciuto agli altri","Si","",""
"2023/01/17 4:27:56 PM CET","F","26-35","Nord","Laurea e post laurea","Disoccupato","5","Fantasy e Avventura;Giallo e Thriller;Romanzo storico;Young Adult e New Adult","Cartaceo;Ebook","5","Nuovi","No","Se il libro mi interessa non importa il prezzo","27","Nessuno di questi","20","Su Amazon","dalle 3 alle 6 ore","Instagram;Facebook","Si","Si","Instagram;Facebook","Si","Bookstagram;Facebook ","No","meno di un'ora","2021","Non sono cambiate, leggo quanto prima","No","","No","","Utilizzo segnalibri","Si","","In completo silenzio","","5","5","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","Si","Fai un video/post su qualche social","Fai un video/post su qualche social","Si","",""
"2023/01/17 4:28:22 PM CET","F","19-25","Sud e Isole","Laurea e post laurea","Studente","3","Romanzo rosa e Chick-lit;Young Adult e New Adult","Cartaceo","4","Indifferente","No","Se il libro mi interessa non importa il prezzo","15","Li scarico da siti online;Leggo su wattpad (e simili)","10 ","Mi è indifferente","dalle 3 alle 6 ore","Instagram;Tiktok","No","No","","Si","Booktok","Si","3 o 4 ore","2022","Leggevo anche prima ma adesso leggo molto di più","No","","No","","Utilizzo segnalibri","Si","","Con musica di sottofondo","leggoromance","4","5","4","Si","No","Consigli di Bookinfluencer;Mi faccio ispirare dalla copertina","No","Scegli un altro libro simile","Scegli un altro libro","Si","",""
"2023/01/17 4:28:27 PM CET","F","19-25","Nord","Diploma","Studente","3","Fantasy e Avventura;Giallo e Thriller;Young Adult e New Adult","Cartaceo;Ebook","5","Indifferente","Si","16 - 20 Euro","5","Li prendo in biblioteca o MLOL","10","Mi è indifferente","dalle 3 alle 6 ore","Youtube;Instagram","No","No","","No","","No","meno di un'ora","2022","Non sono cambiate, leggo quanto prima","No","","No","","Utilizzo segnalibri","Si","","Il contesto è indifferente","","4","4","3","Dipende dal libro","Si","Leggo trame di libri finché non trovo quello che fa per me;Consigli di Bookinfluencer","No","Ne discuti con i tuoi amici e cerchi di convincerli a leggere il libro;Scegli un altro libro simile","Ne discuti con i tuoi amici e li convinci a non leggerlo;Scegli un altro libro","Si","",""
